id,ACTION
1,0.7265362
2,0.9736898
3,0.9945848
4,0.9437158
5,0.9966257
6,0.9967629
7,0.9881328
8,0.9950579
9,0.6313893
10,0.9749623
11,0.9868283
12,0.9333833
13,0.9373509
14,0.7798792
15,0.96631
16,0.9830171
17,0.9256683
18,0.8927202
19,0.9828185
20,0.98246
21,0.9984695
22,0.953664
23,0.82778
24,0.9571836
25,0.9351301
26,0.9714064
27,0.9208114
28,0.6246525
29,0.9848098
30,0.8931533
31,0.9654507
32,0.9651222
33,0.9713407
34,0.972121
35,0.9490427
36,0.9849525
37,0.9635597
38,0.9935057
39,0.8721161
40,0.8598299
41,0.9405482
42,0.9903836
43,0.9657694
44,0.9721312
45,0.9633007
46,0.9667246
47,0.9959745
48,0.9349233
49,0.996511
50,0.9804862
51,0.9869655
52,0.9783388
53,0.9781741
54,0.9719517
55,0.9537679
56,0.9024142
57,0.9674864
58,0.9974215
59,0.9626666
60,0.9841556
61,0.9943256
62,0.9792981
63,0.9599811
64,0.9900529
65,0.9955276
66,0.9831229
67,0.9042984
68,0.9761227
69,0.9542775
70,0.7690785
71,0.9425633
72,0.9820578
73,0.9685134
74,0.9897935
75,0.9778397
76,0.9771614
77,0.9941667
78,0.9317397
79,0.8425314
80,0.9954531
81,0.9901556
82,0.9831826
83,0.9816258
84,0.989175
85,0.9654263
86,0.925448
87,0.9218044
88,0.9950959
89,0.9807281
90,0.9627721
91,0.9787492
92,0.9307422
93,0.9966937
94,0.8824099
95,0.9961108
96,0.9566763
97,0.792409
98,0.9713135
99,0.9884667
100,0.9862265
101,0.9655806
102,0.6728515
103,0.9726654
104,0.9120562
105,0.8576892
106,0.9939334
107,0.9918245
108,0.9144497
109,0.9789891
110,0.9743717
111,0.8926228
112,0.9455699
113,0.9744131
114,0.995632
115,0.953355
116,0.9519168
117,0.9759686
118,0.9905536
119,0.9995178
120,0.988205
121,0.9882594
122,0.9838088
123,0.8826977
124,0.9675854
125,0.9957938
126,0.8756943
127,0.6425603
128,0.9531149
