id,ACTION
1,0.8003857512161475
2,0.994491755978649
3,0.9991249687109842
4,0.9987856564644205
5,0.9995467249078829
6,0.9999805447470816
7,0.9464667510290654
8,0.9998997741713764
9,0.8924498893214929
10,0.9905860728556231
11,0.9945382725037503
12,0.9921758875789567
13,0.9990715988944986
14,0.6252715522696255
15,0.9683476375758485
16,0.9541990620027362
17,0.5540565505813216
18,0.9507523746951156
19,0.9998579618442779
20,0.997482684384822
21,0.9971987579441068
22,0.9934591576076022
23,0.9957096901759459
24,0.9978797388457535
25,0.9996339393081983
26,0.9739709013922058
27,0.9979766146439478
28,0.9761967315452839
29,0.9947172222726719
30,0.9740565106535254
31,0.9986946271720498
32,0.9967099325146045
33,0.9802793894287505
34,0.9993564956107632
35,0.9970207756600784
36,1
37,0.9969058123251725
38,1
39,0.998132027230103
40,0.9416945118395935
41,0.8638347449651796
42,0.9994095141098518
43,0.9966041890597616
44,0.9973965433618882
45,0.9988410240582923
46,0.9909330528090391
47,0.9998537015724309
48,0.996718852002439
49,0.9998749394713875
50,0.9801223309439828
51,0.9321881654848417
52,0.999098549395104
53,0.957206246027434
54,1
55,0.9988850095437638
56,0.9803388419467006
57,0.9799562070409443
58,0.9991583255620882
59,0.9994537795840533
60,0.9988625086528025
61,0.9986890859637464
62,0.9917927171935133
63,0.9973252290076087
64,0.9998561198844326
65,0.9993748048285958
66,0.9867693241710471
67,0.9997727272727271
68,0.9996113463415968
69,0.9876090322896206
70,0.6529999686214257
71,0.991371409084804
72,0.9990805707934333
73,1
74,0.998529067989871
75,0.9993005188179498
76,0.9992857142857143
77,0.995402606978367
78,0.9265172308530096
79,0.6824567976231942
80,0.9958469514466286
81,0.9995817271700217
82,0.9981769560288625
83,0.9998230088495574
84,0.9979883833128143
85,0.990299309153636
86,0.9797832863911451
87,0.9988769535349923
88,0.9980038123307092
89,0.9987268040430767
90,0.8784469696969696
91,0.9920007283169592
92,0.8544636511946857
93,0.9976155621059918
94,0.96474169817344535
95,0.9973753989840204
96,0.9996628482166102
97,0.5806971266719906
98,0.9973956018505901
99,0.9963089281452282
100,0.9993122864507648
101,0.986155202086759
102,0.898203727414995
103,0.996264255107906
104,0.9949791675814709
105,0.7490470521504229
106,0.9978521186372886
107,0.9997721600393515
108,0.9961888073574741
109,0.998619504387428
110,0.9982843016384804
111,0.9149836288454519
112,0.9978088515445807
113,0.9784826922231509
114,0.9989505484094414
115,0.9989576742199949
116,0.9803691518455028
117,0.9871235954042171
